-24, 0.0, 1.0, 2.0, 512.0, 2560.0, 513.0, 2561.0, 514.0, 4096.0, 4097.0, 
-23, 4098.0, 12802.0, 7938.0, 8448.0, 8449.0, 16385.0, 16386.0, 16896.0, 24321.0, 8450.0, 
-22, 24833.0, 24834.0, 16384.0, 16897.0, 8960.0, 16898.0, 8961.0, 1024.0, 8962.0, 1025.0, 
-21, 24322.0, 9472.0, 1026.0, 9473.0, 1536.0, 17920.0, 9474.0, 1537.0, 17921.0, 1538.0, 
-20, 17922.0, 18432.0, 18433.0, 24832.0, 10496.0, 18434.0, 10497.0, 18944.0, 10498.0, 18945.0, 
-19, 11008.0, 2562.0, 18946.0, 11009.0, 3072.0, 19456.0, 11010.0, 3073.0, 19457.0, 11520.0, 
-18, 3074.0, 19458.0, 11521.0, 3584.0, 11522.0, 3585.0, 12032.0, 3586.0, 12033.0, 20480.0, 
-17, 12034.0, 20481.0, 20482.0, 20992.0, 20993.0, 20994.0, 13057.0, 5120.0, 21504.0, 13058.0, 
-16, 5121.0, 21505.0, 13568.0, 5122.0, 21506.0, 13569.0, 5632.0, 22016.0, 13570.0, 5633.0, 
-15, 22017.0, 14080.0, 5634.0, 22018.0, 14081.0, 6144.0, 14082.0, 6145.0, 14592.0, 6146.0, 
-14, 14593.0, 6656.0, 23040.0, 14594.0, 6657.0, 23041.0, 6658.0, 23042.0, 23552.0, 23553.0, 
-13, 15616.0, 23554.0, 15617.0, 7680.0, 24064.0, 15618.0, 7681.0, 24065.0, 16128.0, 7682.0, 
-12, 24066.0, 16129.0, 256.0, 257.0, 258.0, 768.0, 4352.0, 4353.0, 3842.0, 4354.0, 
-11, 13056.0, 769.0, 770.0, 1282.0, 8193.0, 8194.0, 8192.0, 16640.0, 16641.0, 8704.0, 
-10, 24578.0, 16642.0, 8705.0, 17152.0, 8706.0, 17153.0, 16130.0, 24576.0, 9216.0, 17154.0, 
-9, 9217.0, 1280.0, 9218.0, 1281.0, 24577.0, 1792.0, 18176.0, 1793.0, 18177.0, 10240.0, 
-8, 1794.0, 18178.0, 10241.0, 18688.0, 10242.0, 18689.0, 10752.0, 18690.0, 10753.0, 2816.0, 
-7, 19200.0, 10754.0, 2817.0, 19201.0, 11264.0, 2818.0, 19202.0, 11265.0, 3328.0, 19712.0, 
-6, 11266.0, 3329.0, 19713.0, 11776.0, 3330.0, 19714.0, 11777.0, 3840.0, 11778.0, 3841.0, 
-5, 20736.0, 20737.0, 12800.0, 20738.0, 12801.0, 21248.0, 21249.0, 13312.0, 21250.0, 13313.0, 
-4, 5376.0, 21760.0, 13314.0, 5377.0, 21761.0, 13824.0, 5378.0, 21762.0, 13825.0, 5888.0, 
-3, 22272.0, 13826.0, 5889.0, 22273.0, 14336.0, 5890.0, 22274.0, 14337.0, 6400.0, 14338.0, 
-2, 6401.0, 6402.0, 6912.0, 23296.0, 6913.0, 23297.0, 15360.0, 6914.0, 23298.0, 15361.0, 
-1, 23808.0, 15362.0, 23809.0, 15872.0, 23810.0, 24320.0, 15873.0, 7936.0, 15874.0, 7937.0, 
