Layer,	Cycles,	% Utilization,
DSConv1,	1047,	40.7278605015674,
WA1,	2094,	95.79654389505549,
DSConv2,	10280,	98.56900549639299,
WA2,	20512,	99.79690775681341,
DSConv3,	2600,	94.45322902796272,
WA3,	10271,	99.59442848797585,
DSConv4,	5160,	97.16816791298436,
WA4,	20511,	99.79690775681341,
DSConv5,	1320,	89.34622762148338,
WA5,	10271,	99.59442848797585,
DSConv6,	2600,	94.45322902796272,
WA6,	20511,	99.79690775681341,
DSConv7,	2600,	94.45322902796272,
WA7,	20511,	99.79690775681341,
DSConv8,	680,	44.67311381074169,
WA8,	20511,	49.898453878406706,
DSConv9,	1320,	47.22661451398136,
WA9,	40991,	49.94918854138714,
DSConv10,	1320,	47.22661451398136,
WA10,	40991,	49.94918854138714,
DSConv11,	751,	11.748397969374167,
WA11,	40991,	12.48622982788905,
DSConv12,	751,	11.748397969374167,
WA12,	40991,	12.48622982788905,
DSConv13,	751,	11.748397969374167,
WA13,	40991,	12.48622982788905,
FC1,	8224,	3.1073285297336737,
FC2,	8224,	3.1073285297336737,
FC3,	522,	0.9512580974088293,
